Date,Quantity Sold (kg),Unit Price (NGN),Total Sales Value (NGN),Opening Stock (kg),Closing Stock (kg),Restocked Quantity (kg),Supplier Name,Supplier Cost (NGN),Transport Cost (NGN),Store Location,Season
1/1/2009,139,168,23421,263,163,100,Local Farmer,127,4690,"Kano, Sabon Gari",Dry Season
1/2/2009,208,155,32261,179,57,122,Ogun Growers,122,5485,"Lagos, Yaba",Dry Season
1/3/2009,287,157,45119,211,9,202,Ogun Growers,128,3676,Ibadan,Dry Season
1/4/2009,118,153,18022,280,240,40,Ogun Growers,110,3538,"Abuja, Wuse",Dry Season
1/5/2009,188,127,23788,244,85,159,Local Farmer,94,6816,"Kano, Sabon Gari",Dry Season
1/6/2009,297,150,44409,245,-27,272,Ogun Growers,122,7034,Port Harcourt,Dry Season
1/7/2009,121,141,17009,127,16,111,Kaduna Suppliers,114,7099,"Lagos, Yaba",Dry Season
1/8/2009,261,133,34638,280,39,241,Ogun Growers,119,3743,Port Harcourt,Dry Season
1/9/2009,206,170,35008,232,41,191,Local Farmer,144,9547,"Kano, Sabon Gari",Dry Season
1/10/2009,272,139,37863,260,-7,267,Kaduna Suppliers,98,5160,"Lagos, Yaba",Dry Season
1/11/2009,280,165,46279,223,-26,249,Local Farmer,142,4821,"Lagos, Yaba",Dry Season
1/12/2009,236,145,34139,159,-8,167,Kaduna Suppliers,105,9975,"Lagos, Yaba",Dry Season
1/13/2009,154,135,20722,102,-34,136,Local Farmer,95,8982,Port Harcourt,Dry Season
1/14/2009,121,147,17813,271,200,71,Kaduna Suppliers,131,7160,Port Harcourt,Dry Season
1/15/2009,244,126,30814,172,14,158,Ogun Growers,103,5767,"Abuja, Wuse",Dry Season
1/16/2009,146,122,17801,192,144,48,Jigawa Farm,93,7973,Port Harcourt,Dry Season
1/17/2009,242,149,36077,214,69,145,Kaduna Suppliers,127,8504,Ibadan,Dry Season
1/18/2009,166,162,26963,285,176,109,Kaduna Suppliers,124,6725,"Abuja, Wuse",Dry Season
1/19/2009,279,141,39462,197,-40,237,Ogun Growers,114,9970,"Kano, Sabon Gari",Dry Season
1/20/2009,239,179,42728,148,-15,163,Kaduna Suppliers,152,9747,"Kano, Sabon Gari",Dry Season
1/21/2009,210,144,30159,177,4,173,Kaduna Suppliers,106,6508,Port Harcourt,Dry Season
1/22/2009,274,175,47931,231,31,200,Ogun Growers,131,4012,Port Harcourt,Dry Season
1/23/2009,259,122,31652,143,-57,200,Jigawa Farm,87,9044,"Lagos, Yaba",Dry Season
1/24/2009,131,179,23504,126,34,92,Kaduna Suppliers,131,8252,Ibadan,Dry Season
1/25/2009,212,160,33918,235,28,207,Jigawa Farm,117,3705,"Kano, Sabon Gari",Dry Season
1/26/2009,177,177,31328,233,139,94,Jigawa Farm,129,5021,"Lagos, Yaba",Dry Season
1/27/2009,276,179,49540,263,6,257,Jigawa Farm,132,3585,"Kano, Sabon Gari",Dry Season
1/28/2009,101,121,12261,171,73,98,Jigawa Farm,93,5968,Ibadan,Dry Season
